{'args': Namespace(gpu_id='2', net='ResNet50', dset='office-home', s_dset_path='/home/doanpt/locnd/Mini-batch_Keypoint-Guided-Relative_OT/Mini-batch_KPG-RL_OT/data/office-home/Art.txt', t_dset_path='/home/doanpt/locnd/Mini-batch_Keypoint-Guided-Relative_OT/Mini-batch_KPG-RL_OT/data/office-home/Clipart.txt', stratify_source=True, test_interval=500, output_dir='home_A2C_KPG_mOT_unbalanced_k1_m65_eps0.01_alpha0.7_run0', restore_dir=None, lr=0.001, batch_size=65, cos_dist=False, stop_step=10000, final_log='results/home_KPG_mOT_unbalanced_0.7_run0_log.txt', seed=12345, num_worker=4, test_10crop=True, ot_type='unbalanced', eta1=0.01, eta2=0.5, epsilon=0.01, tau=0.5, mass=0.5, use_bomb=False, be=0.0, k=1, use_kpg=True, alpha=0.7, tau_s=0.1, tau_t=0.1), 'gpu': '2', 'num_iterations': 10001, 'test_interval': 500, 'ot_type': 'unbalanced', 'eta1': 0.01, 'eta2': 0.5, 'epsilon': 0.01, 'tau': 0.5, 'mass': 0.5, 'use_bomb': False, 'be': 0.0, 'k': 1, 'use_kpg': True, 'alpha': 0.7, 'tau_s': 0.1, 'tau_t': 0.1, 'output_for_test': True, 'output_path': 'snapshot/home_A2C_KPG_mOT_unbalanced_k1_m65_eps0.01_alpha0.7_run0', 'restore_path': None, 'out_file': <_io.TextIOWrapper name='snapshot/home_A2C_KPG_mOT_unbalanced_k1_m65_eps0.01_alpha0.7_run0/log.txt' mode='w' encoding='UTF-8'>, 'prep': {'test_10crop': True, 'params': {'resize_size': 256, 'crop_size': 224}}, 'network': {'name': <class 'network.ResNetFc'>, 'params': {'resnet_name': 'ResNet50', 'use_bottleneck': True, 'bottleneck_dim': 512, 'new_cls': True, 'cos_dist': False, 'class_num': 65}}, 'optimizer': {'type': <class 'torch.optim.sgd.SGD'>, 'optim_params': {'lr': 0.001, 'momentum': 0.9, 'weight_decay': 0.0005, 'nesterov': True}, 'lr_type': 'inv', 'lr_param': {'lr': 0.001, 'gamma': 0.001, 'power': 0.75}}, 'dataset': 'office-home', 'data': {'source': {'list_path': '/home/doanpt/locnd/Mini-batch_Keypoint-Guided-Relative_OT/Mini-batch_KPG-RL_OT/data/office-home/Art.txt', 'batch_size': 65}, 'target': {'list_path': '/home/doanpt/locnd/Mini-batch_Keypoint-Guided-Relative_OT/Mini-batch_KPG-RL_OT/data/office-home/Clipart.txt', 'batch_size': 65}, 'test': {'list_path': '/home/doanpt/locnd/Mini-batch_Keypoint-Guided-Relative_OT/Mini-batch_KPG-RL_OT/data/office-home/Clipart.txt', 'batch_size': 10}}}
iter: 00499, precision: 0.50378
iter: 00999, precision: 0.50378
iter: 01499, precision: 0.51203
iter: 01999, precision: 0.51294
iter: 02499, precision: 0.51523
iter: 02999, precision: 0.51226
iter: 03499, precision: 0.51019
iter: 03999, precision: 0.51455
iter: 04499, precision: 0.51890
iter: 04999, precision: 0.51157
iter: 05499, precision: 0.51546
iter: 05999, precision: 0.51501
iter: 06499, precision: 0.50905
iter: 06999, precision: 0.50722
iter: 07499, precision: 0.50928
iter: 07999, precision: 0.50424
iter: 08499, precision: 0.50103
iter: 08999, precision: 0.50607
iter: 09499, precision: 0.50034
iter: 09999, precision: 0.50997
